epoch,acc@1,acc@5,train_loss,val_loss
177,75.718,92.688,2.709,1.052
178,75.732,92.684,2.710,1.050
179,75.766,92.684,2.707,1.049
180,75.822,92.708,2.702,1.048
181,75.808,92.742,2.700,1.047
182,75.854,92.746,2.699,1.046
183,75.862,92.752,2.699,1.045
184,75.836,92.752,2.695,1.045
185,75.834,92.792,2.694,1.044
186,75.870,92.796,2.685,1.043
187,75.930,92.794,2.688,1.042
188,75.966,92.800,2.690,1.041
189,76.006,92.834,2.682,1.040
190,75.950,92.830,2.684,1.039
191,76.014,92.862,2.680,1.038
192,76.030,92.882,2.677,1.037
193,76.066,92.880,2.673,1.036
194,76.084,92.864,2.671,1.035
195,76.026,92.874,2.672,1.034
196,76.064,92.888,2.665,1.033
197,76.112,92.912,2.666,1.033
198,76.198,92.918,2.661,1.032
199,76.208,92.950,2.660,1.032
200,76.196,92.964,2.659,1.031
201,76.216,92.962,2.654,1.030
202,76.216,92.952,2.658,1.029
203,76.220,92.926,2.652,1.029
204,76.232,92.914,2.648,1.028
205,76.246,92.918,2.647,1.027
206,76.316,92.944,2.646,1.027
207,76.352,92.950,2.642,1.026
208,76.370,92.964,2.639,1.026
209,76.386,93.008,2.640,1.025
210,76.390,93.026,2.636,1.024
211,76.406,93.046,2.636,1.023
212,76.378,93.072,2.635,1.023
213,76.412,93.080,2.630,1.022
214,76.400,93.054,2.630,1.021
215,76.456,93.074,2.626,1.021
216,76.414,93.072,2.623,1.020
217,76.468,93.072,2.620,1.020
218,76.482,93.054,2.617,1.019
219,76.466,93.078,2.621,1.018
220,76.472,93.082,2.613,1.018
221,76.452,93.118,2.613,1.017
222,76.434,93.118,2.611,1.017
223,76.398,93.124,2.609,1.016
224,76.414,93.118,2.610,1.016
225,76.412,93.106,2.607,1.015
226,76.460,93.122,2.606,1.015
227,76.508,93.114,2.603,1.014
228,76.532,93.128,2.601,1.014
229,76.518,93.118,2.597,1.013
230,76.520,93.136,2.595,1.012
231,76.580,93.142,2.597,1.012
232,76.560,93.150,2.591,1.011
233,76.574,93.164,2.593,1.011
234,76.584,93.182,2.587,1.010
235,76.600,93.180,2.588,1.010
236,76.612,93.172,2.588,1.009
237,76.576,93.190,2.584,1.009
238,76.604,93.152,2.583,1.008
239,76.640,93.148,2.579,1.008
240,76.654,93.168,2.579,1.008
241,76.720,93.194,2.574,1.007
242,76.718,93.198,2.571,1.007
243,76.734,93.190,2.573,1.006
244,76.784,93.192,2.572,1.005
245,76.814,93.212,2.571,1.005
246,76.762,93.242,2.564,1.005
247,76.822,93.254,2.564,1.005
248,76.826,93.246,2.563,1.004
249,76.830,93.258,2.562,1.004
250,76.814,93.270,2.563,1.003
251,76.812,93.278,2.556,1.003
252,76.842,93.268,2.554,1.002
253,76.838,93.244,2.554,1.002
254,76.846,93.240,2.553,1.002
255,76.870,93.262,2.551,1.001
256,76.856,93.278,2.552,1.001
257,76.900,93.276,2.549,1.001
258,76.880,93.266,2.546,1.000
259,76.924,93.272,2.546,1.000
260,76.932,93.262,2.544,1.000
261,76.962,93.240,2.540,1.000
262,76.994,93.258,2.539,0.999
263,76.988,93.258,2.537,0.999
264,76.992,93.280,2.537,0.999
265,76.958,93.294,2.534,0.999
266,76.974,93.302,2.532,0.999
267,76.996,93.300,2.531,0.998
268,77.004,93.288,2.531,0.998
269,77.054,93.292,2.531,0.998
270,76.996,93.310,2.527,0.997
271,77.008,93.314,2.525,0.997
272,76.996,93.294,2.523,0.997
273,77.004,93.296,2.520,0.996
274,77.004,93.294,2.523,0.996
275,76.944,93.270,2.519,0.996
276,76.914,93.290,2.518,0.996
277,76.952,93.292,2.515,0.995
278,76.942,93.294,2.515,0.995
279,76.952,93.274,2.514,0.995
280,76.972,93.260,2.512,0.995
281,77.004,93.274,2.511,0.994
282,77.030,93.270,2.508,0.994
283,77.048,93.284,2.506,0.994
284,77.046,93.300,2.505,0.994
285,77.048,93.290,2.502,0.994
286,77.042,93.290,2.503,0.994
287,77.030,93.300,2.503,0.994
288,77.048,93.294,2.498,0.994
289,77.018,93.326,2.499,0.993
290,76.990,93.306,2.500,0.993
291,77.014,93.334,2.495,0.993
292,77.000,93.322,2.494,0.993
293,76.986,93.308,2.495,0.993
294,76.980,93.312,2.488,0.993
295,76.992,93.344,2.491,0.993
296,76.952,93.332,2.492,0.993
297,76.954,93.310,2.485,0.993
298,76.938,93.310,2.485,0.993
299,76.960,93.312,2.485,0.993
300,76.952,93.318,2.481,0.993
301,76.970,93.316,2.480,0.993
302,76.992,93.304,2.480,0.993
303,77.002,93.290,2.481,0.992
304,77.054,93.302,2.479,0.992
305,77.080,93.290,2.476,0.992
306,77.074,93.280,2.476,0.992
307,77.066,93.308,2.474,0.992
308,77.110,93.322,2.473,0.991
309,77.134,93.316,2.472,0.991
310,77.128,93.336,2.470,0.991
311,77.104,93.354,2.470,0.991
312,77.076,93.360,2.470,0.991
313,77.044,93.344,2.466,0.991
314,77.066,93.348,2.465,0.991
315,77.096,93.364,2.463,0.990
316,77.060,93.370,2.463,0.990
317,77.104,93.352,2.462,0.990
318,77.110,93.358,2.462,0.990
319,77.120,93.366,2.461,0.990
320,77.122,93.338,2.457,0.990
321,77.152,93.354,2.455,0.990
322,77.114,93.354,2.457,0.990
323,77.120,93.338,2.454,0.990
324,77.126,93.336,2.452,0.990
325,77.148,93.338,2.451,0.990
326,77.146,93.368,2.449,0.990
327,77.122,93.362,2.453,0.990
328,77.104,93.364,2.449,0.990
329,77.158,93.378,2.446,0.990
330,77.146,93.374,2.446,0.990
331,77.156,93.368,2.444,0.989
332,77.156,93.368,2.446,0.989
333,77.156,93.372,2.442,0.989
334,77.174,93.364,2.442,0.989
335,77.196,93.376,2.441,0.989
336,77.172,93.380,2.441,0.989
337,77.162,93.382,2.437,0.989
338,77.156,93.392,2.438,0.988
339,77.130,93.408,2.438,0.988
340,77.130,93.398,2.437,0.988
341,77.112,93.382,2.434,0.988
342,77.126,93.394,2.433,0.988
343,77.148,93.392,2.432,0.988
344,77.180,93.410,2.432,0.988
345,77.174,93.402,2.429,0.988
346,77.164,93.422,2.430,0.988
347,77.202,93.430,2.430,0.988
348,77.204,93.426,2.430,0.988
349,77.190,93.428,2.425,0.988
350,77.216,93.432,2.423,0.988
351,77.196,93.434,2.423,0.988
352,77.200,93.454,2.424,0.988
353,77.194,93.438,2.421,0.988
354,77.208,93.424,2.423,0.988
355,77.240,93.434,2.419,0.988
356,77.224,93.446,2.421,0.988
357,77.252,93.448,2.418,0.988
358,77.258,93.486,2.415,0.989
359,77.242,93.456,2.417,0.989
360,77.232,93.462,2.415,0.988
361,77.232,93.478,2.411,0.989
362,77.208,93.472,2.413,0.989
363,77.236,93.440,2.413,0.989
364,77.272,93.462,2.412,0.988
365,77.274,93.446,2.411,0.988
366,77.258,93.438,2.408,0.988
367,77.240,93.472,2.406,0.988
368,77.234,93.482,2.407,0.988
369,77.238,93.452,2.406,0.988
370,77.230,93.444,2.406,0.988
371,77.268,93.452,2.404,0.988
372,77.274,93.458,2.405,0.988
373,77.238,93.442,2.401,0.988
374,77.238,93.458,2.402,0.988
375,77.244,93.464,2.399,0.988
376,77.244,93.446,2.401,0.988
377,77.232,93.432,2.401,0.988
378,77.236,93.436,2.397,0.988
379,77.200,93.434,2.398,0.988
380,77.202,93.450,2.398,0.989
381,77.172,93.450,2.396,0.989
382,77.170,93.458,2.397,0.989
383,77.186,93.442,2.394,0.989
384,77.202,93.444,2.395,0.989
385,77.176,93.446,2.393,0.989
386,77.182,93.442,2.393,0.989
387,77.188,93.418,2.393,0.989
388,77.156,93.410,2.391,0.989
389,77.154,93.430,2.391,0.989
390,77.170,93.426,2.391,0.989
391,77.190,93.416,2.388,0.989
392,77.212,93.406,2.392,0.989
393,77.198,93.402,2.390,0.990
394,77.198,93.428,2.386,0.990
395,77.186,93.424,2.385,0.990
396,77.166,93.424,2.385,0.990
397,77.166,93.412,2.383,0.990
398,77.176,93.422,2.383,0.990
399,77.176,93.442,2.385,0.990
400,77.194,93.440,2.385,0.990
401,77.176,93.422,2.382,0.990
402,77.188,93.442,2.380,0.990
403,77.182,93.444,2.381,0.990
404,77.208,93.470,2.380,0.990
405,77.230,93.464,2.380,0.990
406,77.220,93.456,2.380,0.990
407,77.222,93.450,2.377,0.990
408,77.216,93.446,2.379,0.990
409,77.234,93.422,2.372,0.990
410,77.222,93.418,2.374,0.990
411,77.216,93.402,2.374,0.990
412,77.226,93.406,2.372,0.990
413,77.218,93.414,2.371,0.990
414,77.194,93.416,2.373,0.990
415,77.214,93.420,2.371,0.990
416,77.206,93.428,2.373,0.990
417,77.186,93.442,2.371,0.990
418,77.210,93.432,2.371,0.990
419,77.206,93.452,2.369,0.990
420,77.208,93.424,2.370,0.990
421,77.236,93.412,2.369,0.990
422,77.224,93.406,2.368,0.990
423,77.192,93.412,2.367,0.990
424,77.184,93.404,2.367,0.990
425,77.190,93.428,2.368,0.990
426,77.192,93.414,2.366,0.990
427,77.190,93.404,2.366,0.990
428,77.192,93.416,2.366,0.990
429,77.208,93.384,2.363,0.990
430,77.216,93.372,2.365,0.990
431,77.204,93.406,2.364,0.990
432,77.172,93.410,2.362,0.991
433,77.172,93.414,2.360,0.991
434,77.150,93.404,2.364,0.991
435,77.148,93.404,2.361,0.991
436,77.132,93.438,2.360,0.991
437,77.158,93.432,2.362,0.991
438,77.158,93.426,2.359,0.991
439,77.182,93.440,2.358,0.991
440,77.162,93.438,2.358,0.991
441,77.186,93.426,2.360,0.992
442,77.178,93.432,2.355,0.992
443,77.200,93.430,2.357,0.992
444,77.210,93.448,2.356,0.992
445,77.216,93.440,2.356,0.992
446,77.164,93.430,2.356,0.992
447,77.178,93.438,2.354,0.992
448,77.202,93.458,2.354,0.992
449,77.200,93.470,2.354,0.992
450,77.186,93.442,2.353,0.992
